Estacion,Dia,Mes,Ano,Zona,Latitud,Longitud,Skeletonema,Chaetoceros,Thalassiosira,Nitzschia,Asterionella,Biddulphia,Coscinossira,Schroderella,Coscinodiscus,Leptocylindrus,Rhizosolenia,Rhabdonema
1,6,1,2008,Norte,-33.8,-71.9,0,0,0,0,0,0,0,0,0,0,0,0
2,6,1,2008,Norte,-34.2,-72.0,1260,1620,0,1800,0,0,0,0,0,0,0,0
3,6,1,2008,Norte,-34.0,-71.9,360,0,0,540,0,0,0,0,0,0,0,0
4,7,1,2008,Norte,-34.0,-72.0,540,0,0,540,0,0,0,0,0,0,0,0
5,7,1,2008,Norte,-34.0,-72.1,0,0,0,360,0,0,0,0,0,0,0,0
6,7,1,2008,Norte,-34.0,-72.2,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1,2008,Norte,-34.3,-72.3,0,0,0,0,0,0,0,0,0,0,0,0
8,7,1,2008,Norte,-34.5,-72.1,0,0,0,0,0,0,0,0,0,0,0,0
9,7,1,2008,Norte,-34.3,-72.1,0,0,0,0,0,0,0,0,0,0,0,0
10,7,1,2008,Norte,-34.3,-72.0,1260,0,0,360,0,0,0,0,0,0,0,0
11,8,1,2008,Norte,-34.7,-72.1,720,0,0,0,0,0,0,0,0,0,0,0
12,8,1,2008,Norte,-34.7,-72.2,0,0,0,0,0,0,0,0,0,0,0,0
13,8,1,2008,Norte,-34.7,-72.3,180,0,0,0,0,0,0,0,0,0,0,0
14,8,1,2008,Norte,-34.8,-72.2,0,0,0,0,0,0,0,0,0,0,0,0
15,9,1,2008,Norte,-35.0,-72.2,180,0,0,540,0,0,0,0,0,0,0,0
16,9,1,2008,Norte,-35.0,-72.3,0,0,0,0,0,0,0,0,0,0,0,0
17,9,1,2008,Norte,-35.0,-72.4,0,0,0,540,0,0,0,0,0,0,0,0
18,9,1,2008,Norte,-35.0,-72.6,0,0,0,0,0,0,0,0,0,0,0,0
19,9,1,2008,Norte,-35.2,-72.5,0,0,0,0,0,0,0,0,0,0,0,0
20,10,1,2008,Norte,-35.3,-73.0,0,0,0,0,0,0,0,0,0,0,0,0
21,10,1,2008,Norte,-35.3,-72.7,0,0,0,0,0,0,0,0,0,0,0,0
22,10,1,2008,Norte,-35.3,-72.6,900,0,0,1080,0,0,0,0,0,0,0,0
23,10,1,2008,Norte,-35.3,-72.5,1260,0,0,360,0,0,0,0,0,0,0,0
24,10,1,2008,Norte,-35.5,-72.6,360,0,0,540,0,0,0,0,0,0,0,0
25,11,1,2008,Norte,-35.8,-72.7,0,2880,0,0,0,0,0,0,0,0,0,0
26,12,1,2008,Norte,-36.0,-73.5,0,0,0,0,0,0,0,0,0,0,0,0
27,12,1,2008,Norte,-36.0,-72.9,360,7200,0,0,0,0,0,0,0,0,0,0
28,13,1,2008,Norte,-36.0,-73.2,720,3600,0,0,0,0,0,0,0,0,0,0
29,13,1,2008,Norte,-36.0,-73.0,540,4680,0,1080,0,0,0,0,0,0,0,0
30,13,1,2008,Norte,-36.0,-72.9,0,5580,0,0,0,0,0,0,0,0,0,0
31,13,1,2008,Norte,-36.0,-72.8,0,9180,0,0,180,0,0,0,0,0,0,0
32,13,1,2008,Norte,-36.5,-73.0,0,15660,0,0,0,0,0,0,0,0,0,0
33,14,1,2008,Norte,-36.3,-72.9,1260,17640,0,0,0,0,0,0,0,0,0,0
34,14,1,2008,Norte,-36.3,-73.0,0,5040,3780,0,0,0,0,0,0,0,0,0
35,14,1,2008,Norte,-36.3,-73.1,540,1080,4320,0,0,0,0,0,0,0,0,0
36,14,1,2008,Norte,-36.3,-73.3,900,17820,0,0,0,0,0,0,0,0,0,0
37,14,1,2008,Norte,-36.3,-73.6,180,180,0,0,0,0,0,0,0,0,0,0
38,14,1,2008,Norte,-36.7,-73.6,0,0,0,0,0,0,0,0,0,0,0,0
39,15,1,2008,Norte,-36.7,-73.3,360,360,1440,0,0,0,0,0,0,0,0,0
40,15,1,2008,Norte,-36.7,-73.2,360,180,3420,0,0,0,0,0,0,0,0,0
41,15,1,2008,Norte,-36.7,-73.2,180,0,900,0,0,0,0,0,0,0,0,0
42,16,1,2008,Norte,-37.1,-73.2,0,1980,900,180,0,0,0,0,0,0,0,0
43,16,1,2008,Norte,-36.9,-73.3,0,1800,540,0,0,0,0,0,0,0,0,0
44,16,1,2008,Norte,-36.9,-73.5,540,0,0,0,0,0,0,0,0,0,0,0
45,16,1,2008,Norte,-37.0,-73.5,17820,2880,0,0,0,0,0,0,0,0,0,0
46,16,1,2008,Sur,-37.0,-73.3,1620,7380,0,0,0,0,0,0,0,0,0,0
47,16,1,2008,Sur,-37.0,-73.2,3060,1080,1800,0,0,0,0,0,0,0,0,0
48,16,1,2008,Sur,-37.1,-73.2,2160,720,2160,0,0,180,0,0,0,0,0,0
49,16,1,2008,Sur,-37.1,-73.3,1080,900,0,0,0,0,0,0,0,0,0,0
50,16,1,2008,Sur,-37.1,-73.4,1440,720,360,0,0,0,0,0,0,0,180,0
