Cruce,pais,buque,Est,lat(g) ,lat(m) ,long (g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloa sensor , oxiw (mL/L), cloa , feop ,nombre
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,1,14.841,34.502,25.622,5.51,3.204,-5,3.14,0.74,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,2,14.841,34.502,25.624,5.499,2.934,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,4,14.37,34.506,25.721,5.521,2.859,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,5,14.253,34.508,25.755,5.238,2.684,-5,2.63,0.7,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,6,14.216,34.507,25.764,5.138,2.779,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,8,13.979,34.505,25.808,5.12,2.456,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,10,13.832,34.502,25.842,4.881,2.089,-5,2.33,0.69,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,12,13.316,34.492,25.934,4.614,1.975,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,14,13.06,34.483,25.98,4.031,1.86,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,15,12.896,34.482,26.013,3.919,1.69,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,16,12.781,34.483,26.04,3.698,1.803,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,18,12.428,34.493,26.11,3.454,1.684,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,20,12.301,34.498,26.142,2.768,1.206,-5,1.08,0.82,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,22,12.274,34.498,26.147,2.749,1.216,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,24,12.258,34.497,26.149,2.735,1.086,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,25,12.246,34.497,26.151,2.737,1.202,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,26,12.239,34.498,26.153,2.735,1.297,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,28,12.221,34.498,26.157,2.691,1.164,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,30,12.031,34.504,26.199,2.655,1.314,-5,1.32,1.92,cruce536.csv
536,Chile,AbateMolina,1,33,50,71,55.8,11,1,6,20,57,45,24,4,3,2,4,1014,16.5,15.5,2,6,8,4,32,11.711,34.518,26.258,2.503,1.422,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,2,34,0,71,56.5,11,1,6,23,3,61,24,4,3,4,8,1014,16,15.5,2,6,8,4,1,12.657,34.502,26.078,2.528,0.689,-5,0.63,0.46,cruce536.csv
536,Chile,AbateMolina,2,34,0,71,56.5,11,1,6,23,3,61,24,4,3,4,8,1014,16,15.5,2,6,8,4,2,12.368,34.498,26.128,2.798,0.779,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,2,34,0,71,56.5,11,1,6,23,3,61,24,4,3,4,8,1014,16,15.5,2,6,8,4,4,12.496,34.498,26.116,2.587,0.788,-5,        ,       ,cruce536.csv
536,Chile,AbateMolina,2,34,0,71,56.5,11,1,6,23,3,61,24,4,3,4,8,1014,16,15.5,2,6,8,4,5,11.985,34.513,26.205,2.948,0.803,-5,0.89,1.57,cruce536.csv
536,Chile,AbateMolina,2,34,0,71,56.5,11,1,6,23,3,61,24,4,3,4,8,1014,16,15.5,2,6,8,4,6,11.931,34.516,26.226,2.476,0.847,-5,        ,       ,cruce536.csv
