Cruce,pais,buque,Est,lat(g) ,lat(m) ,long (g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloa sensor , oxiw (mL/L), cloa , feop ,nombre
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,1,17.124,34.474,25.079,7.559,2.194,-5,5.07,1.56,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,2,16.961,34.477,25.126,7.486,2.255,-5,        ,       ,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,4,15.859,34.498,25.381,7.576,2.956,-5,        ,       ,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,5,15.323,34.544,25.54,7.529,3.832,-5,17.11,1.65,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,6,15.047,34.563,25.624,7.058,8.156,-5,        ,       ,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,8,14.312,34.553,25.784,5.063,8.186,-5,        ,       ,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,10,13.04,34.525,26.003,3.854,9.838,-5,9.86,1.26,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,12,12.756,34.512,26.06,2.109,11.491,-5,        ,       ,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,14,12.624,34.509,26.087,2.066,9.089,-5,        ,       ,cruce537.csv
537,Chile,AbateMolina,1,25,10,70,28.6,11,2,8,12,26,68,200,2,2,0,0,1015.5,24,21,0,0,0,7,15,12.557,34.513,26.107,1.976,8.304,-5,        ,       ,cruce537.csv
