buque,EST,lat(g) ,lat(m) ,long (g),long (m),a¤o,Mes,Dia,Hora,minuto,ecosonda,dirolas, Olasalt, olasper, dirviento, intviento, Presatmosf,Tseco,thum,Tiempo,nubes,cantnubes,visibilidad, profundidad, temp, salinidad (psu), sigma, oxigsensor, cloasensor, oxiw, cloa, feop
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,1,15.557,34.153,25.196,6.457,2.606,        ,        ,       
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,2,15.554,34.182,25.23,6.467,2.618,6.43,3.74,1.4
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,4,14.93,34.283,25.433,6.636,3.076,        ,        ,       
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,5,14.597,34.304,25.519,6.699,3.347,6.66,3.85,1.19
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,6,14.43,34.315,25.565,6.715,4.52,        ,        ,       
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,8,14.279,34.321,25.603,6.59,5.185,        ,        ,       
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,10,14.15,34.317,25.625,6.383,5.305,6.44,6.15,0.91
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,12,13.738,34.332,25.719,6.267,5.313,        ,        ,       
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,14,13.598,34.344,25.765,5.804,5.248,        ,        ,       
Abate Molina,1,33,50,71,55.6,13,1,5,9,10,40,230,1,3,0,0,1020,18.5,16.5,1,6,7,7,15,13.527,34.349,25.788,5.639,5.124,        ,        ,       
