A„O,MES,DiA,ESTACIoN,LATITUD,LONGITUD,Zooplancton,Copepodos,Anfipodos,Apendicularias,Ctenoforos,Doliolidos,Eufausidos,Foraminiferos,Heteropodos,Misidaceos,Medusas,Nauplius,Langosjuv,Pteropodos ,Quetognatos,Ophiopluteus,Ophiuroideosjuv,Ostracodos,Radiolarios,Salpas,Sifonoforos,Stomatopodos,Tomopteridos,Calyptopis,Furcilias,Huevosinv,Huevospeces,Cifonautas,Cipris,Criptoniscus,Larvasbivalvos,Larvasbraquiopodos,Larvasgastropodos,Larvaspeces,Larvaspoliquetos,Trocoforas,Megalopas,Zoeas,Juvenilespeces,Paralarvascefalopodos,Biomasatotal,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,5,1,-33.833,-71.917,252.148,250.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.016,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,5,2,-34.167,-72.033,507.220,486.6,0.2,0.2,0.0,12.3,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.0,5.7,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.016,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,5,3,-34.000,-71.933,83.894,74.2,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.3,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.043,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,6,4,-34.000,-72.017,212.198,183.5,0.4,0.5,0.0,0.0,7.0,0.0,0.0,0.0,0.2,0.0,0.9,0.0,9.8,0.0,0.0,1.5,0.0,0.6,0.4,0.0,2.3,0.0,4.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.067,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,6,5,-34.000,-72.117,206.033,138.3,0.5,0.2,0.0,0.0,28.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.2,0.0,0.0,0.7,0.0,0.3,0.3,0.0,0.3,0.0,20.7,1.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.078,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,6,6,-34.000,-72.233,491.980,435.0,0.3,1.3,0.0,0.0,1.6,0.0,0.0,0.0,0.3,0.0,0.3,0.0,27.5,0.0,0.0,2.8,0.0,0.0,0.0,0.3,0.6,4.7,15.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.049,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,7,7,-34.333,-71.983,96.256,95.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,7,8,-34.333,-72.133,170.921,165.2,0.4,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.8,0.0,0.0,0.3,0.0,0.5,0.1,0.0,0.4,1.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,7,9,-34.333,-72.250,140.321,116.3,0.3,0.1,0.1,0.0,0.1,1.3,0.1,0.0,0.1,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.3,1.0,0.1,0.0,2.4,0.9,0.9,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,1.2,0.0,0.0,0.4,0.0,0.0,0.014,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,7,10,-34.500,-72.133,1180.983,1169.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.017,,,,,,,,,,,,,,,,,,,,,,,,
