Zona,Transecta,Estación,Fecha,Hora,Latitud,Longitud,Profundidad,Temperatura,Salinidad,Oxígeno,Densidad,Sigma-t,Conductividad,Fluorescencia,SBE,Oxygeno,Chl-a
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,1,14.020,34.327,3.631,1025.656,25.655,41.309,4.313,19 Plus V2,3.643,0.801
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,2,13.623,34.466,3.552,1025.864,25.857,40.949,3.838,19 Plus V2,3.562,0.723
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,3,13.314,34.482,3.529,1025.952,25.939,40.649,3.564,19 Plus V2,3.539,0.679
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,4,13.148,34.379,3.470,1025.903,25.886,40.502,3.385,19 Plus V2,3.480,0.649
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,5,13.059,34.397,3.412,1025.937,25.915,40.408,3.292,19 Plus V2,3.421,0.634
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,6,12.980,34.402,3.360,1025.962,25.935,40.334,3.259,19 Plus V2,3.370,0.629
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,7,12.907,34.403,3.310,1025.983,25.951,40.264,3.345,19 Plus V2,3.319,0.643
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,8,12.835,34.402,3.252,1025.998,25.962,40.200,3.520,19 Plus V2,3.260,0.671
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,9,12.758,34.424,3.189,1026.036,25.997,40.134,3.700,19 Plus V2,3.197,0.701
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,10,12.691,34.402,3.085,1026.036,25.992,40.068,3.817,19 Plus V2,3.092,0.720
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,11,12.625,34.421,3.028,1026.068,26.019,40.011,3.896,19 Plus V2,3.035,0.733
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,12,12.548,34.430,2.979,1026.095,26.042,39.943,3.981,19 Plus V2,2.986,0.746
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,13,12.477,34.427,2.872,1026.113,26.055,39.872,4.080,19 Plus V2,2.878,0.763
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,14,12.431,34.416,2.824,1026.117,26.055,39.820,4.129,19 Plus V2,2.829,0.770
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,15,12.402,34.404,2.826,1026.118,26.051,39.786,4.125,19 Plus V2,2.831,0.770
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,16,12.387,34.405,2.781,1026.127,26.054,39.771,4.092,19 Plus V2,2.786,0.764
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,17,12.376,34.411,2.746,1026.136,26.059,39.766,3.988,19 Plus V2,2.750,0.748
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,18,12.359,34.415,2.719,1026.145,26.066,39.756,3.863,19 Plus V2,2.723,0.727
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,19,12.342,34.423,2.673,1026.160,26.076,39.743,3.806,19 Plus V2,2.677,0.718
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,20,12.326,34.419,2.631,1026.165,26.076,39.730,3.700,19 Plus V2,2.634,0.701
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,21,12.310,34.423,2.587,1026.176,26.082,39.717,3.570,19 Plus V2,2.590,0.679
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,22,12.292,34.424,2.518,1026.185,26.087,39.703,3.420,19 Plus V2,2.521,0.655
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,23,12.274,34.423,2.446,1026.192,26.089,39.688,3.279,19 Plus V2,2.448,0.632
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,24,12.249,34.433,2.401,1026.208,26.101,39.671,3.200,19 Plus V2,2.403,0.619
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,25,12.215,34.450,2.375,1026.235,26.123,39.646,3.164,19 Plus V2,2.377,0.613
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,26,12.189,34.431,2.341,1026.230,26.113,39.616,3.084,19 Plus V2,2.342,0.600
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,27,12.180,34.428,2.239,1026.233,26.112,39.606,2.795,19 Plus V2,2.240,0.553
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,28,12.175,34.432,2.073,1026.239,26.115,39.604,2.322,19 Plus V2,2.072,0.476
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,29,12.161,34.442,1.910,1026.253,26.124,39.604,1.886,19 Plus V2,1.908,0.405
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,30,12.128,34.465,1.845,1026.282,26.149,39.594,1.650,19 Plus V2,1.843,0.367
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,31,12.075,34.516,1.816,1026.340,26.202,39.569,1.497,19 Plus V2,1.813,0.342
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,32,12.026,34.485,1.763,1026.331,26.188,39.519,1.356,19 Plus V2,1.759,0.319
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,33,12.001,34.480,1.677,1026.333,26.186,39.489,1.191,19 Plus V2,1.673,0.292
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,34,11.984,34.485,1.602,1026.345,26.194,39.474,1.042,19 Plus V2,1.598,0.268
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,35,11.969,34.484,1.561,1026.352,26.195,39.464,0.920,19 Plus V2,1.557,0.248
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,36,11.953,34.498,1.541,1026.370,26.209,39.460,0.833,19 Plus V2,1.536,0.234
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,37,11.932,34.517,1.526,1026.392,26.227,39.453,0.771,19 Plus V2,1.521,0.223
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,38,11.909,34.518,1.523,1026.404,26.234,39.433,0.738,19 Plus V2,1.518,0.218
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,39,11.896,34.506,1.530,1026.401,26.227,39.416,0.726,19 Plus V2,1.525,0.216
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,40,11.889,34.505,1.530,1026.406,26.227,39.407,0.721,19 Plus V2,1.525,0.215
Norte,1,1,11/4/2015,3:38,-33.000,-71.617,41,11.883,34.506,1.530,1026.412,26.229,39.402,0.699,19 Plus V2,1.525,0.212
