longitud,latitud,estacion,transect,dc,adiain10,aflain10,atotin10,tadiapro10,taflapro10
-70.493,-25.000,2,1,1,16.1,3.0,19.1,211,94
-70.568,-25.000,3,1,5,11.3,0.1,11.4,244,78
-70.655,-25.000,4,1,10,3.1,0.5,3.7,242,83
-70.850,-25.000,5,1,20,3.0,0.6,3.6,234,83
-70.478,-25.167,1,IT-2,1,21.3,1.2,22.6,204,101
-70.468,-25.333,9,3,1,17.5,0.9,18.4,169,86
-70.542,-25.333,8,3,5,6.4,0.8,7.2,192,109
-70.637,-25.333,7,3,10,5.8,0.7,6.5,223,103
-70.778,-25.333,6,3,20,3.9,0.8,4.7,178,107
-70.650,-25.500,10,IT-4,1,72.8,1.8,74.6,169,86
-70.715,-25.667,11,5,1,11.9,1.8,13.7,186,109
-70.782,-25.667,12,5,5,13.3,0.2,13.4,194,80
-70.877,-25.667,13,5,10,3.2,0.1,3.4,179,114
-71.065,-25.667,14,5,20,2.7,0.3,3.0,202,132
-70.763,-25.833,15,IT-6,1,8.6,1.0,9.6,179,99
-70.658,-26.000,16,7,1,23.5,,23.5,186,
-70.733,-26.000,17,7,5,3.9,0.3,4.2,154,48
-70.828,-26.000,18,7,10,2.6,0.1,2.6,153,67
-71.013,-26.000,19,7,20,2.4,0.1,2.5,166,159
-70.712,-26.167,21,IT-8,1,7.3,1.5,8.9,151,109
-70.663,-26.333,22,9,1,10.6,0.8,11.3,153,99
-70.737,-26.333,23,9,5,7.4,0.5,7.9,190,103
-70.832,-26.333,24,9,10,1.9,0.2,2.1,123,96
-71.018,-26.333,25,9,20,1.0,0.1,1.2,134,134
-70.730,-26.500,20,IT-10,1,13.0,1.0,13.9,186,109
-70.752,-26.667,29,11,1,8.9,0.8,9.7,178,132
-70.825,-26.667,28,11,5,4.6,0.3,4.9,184,97
-70.918,-26.667,27,11,10,2.2,0.0,2.2,167,98
-71.108,-26.667,26,11,20,0.5,0.1,0.6,138,132
-70.838,-26.833,30,IT-12,1,15.1,0.8,15.9,163,81
-70.853,-27.000,31,13,1,17.1,1.3,18.4,174,97
-70.937,-27.000,32,13,5,11.5,1.1,12.6,154,102
-71.032,-27.000,33,13,10,1.1,0.1,1.3,130,92
-70.997,-27.167,38,IT-14,1,14.3,0.4,14.7,161,93
-71.017,-27.333,37,15,1,15.2,0.2,15.3,196,97
-71.092,-27.333,36,15,5,7.6,0.3,7.9,151,104
-71.188,-27.333,35,15,10,1.1,,1.1,147,
-71.375,-27.333,34,15,20,1.5,,1.5,200,
-70.917,-27.500,39,IT-16,1,90.5,0.2,90.6,183,61
-71.058,-27.667,40,17,1,78.0,0.6,78.6,165,131
-71.133,-27.667,41,17,5,19.7,0.2,19.9,152,50
-71.233,-27.667,42,17,10,3.0,0.2,3.2,181,113
-71.417,-27.667,43,17,20,1.5,0.1,1.6,142,152
-71.125,-27.833,44,IT-18,1,52.0,0.5,52.5,168,104
-71.170,-28.000,47,19,1,23.4,0.9,24.3,146,117
-71.245,-28.000,48,19,5,21.7,0.7,22.4,158,154
-71.343,-28.000,46,19,10,3.4,0.1,3.5,174,146
-71.530,-28.000,45,19,20,1.5,0.1,1.6,134,77
-71.198,-28.167,49,IT-20,1,12.8,,12.8,168,
-71.213,-28.333,50,21,1,20.6,0.3,20.9,176,50
-71.290,-28.333,51,21,5,4.8,,4.8,166,
-71.387,-28.333,52,21,10,1.3,,1.3,123,
-71.538,-28.333,53,21,20,0.9,,0.9,104,
-71.313,-28.500,54,IT-22,1,79.0,0.7,79.7,171,93
-71.332,-28.667,55,23,1,76.0,1.0,77.0,141,63
-71.395,-28.667,56,23,5,32.5,1.1,33.6,134,72
-71.492,-28.667,57,23,10,10.2,0.3,10.5,159,93
-71.683,-28.667,58,23,20,2.4,0.1,2.5,122,69
-71.508,-28.833,59,IT-24,1,73.2,0.9,74.2,154,74
-71.583,-29.000,63,25,1,31.5,,31.5,145,
-71.660,-29.000,62,25,5,15.8,,15.8,146,
-71.753,-29.000,61,25,10,2.3,0.1,2.4,124,119
-71.947,-29.000,60,25,20,2.9,0.0,2.9,140,99
-71.537,-29.167,64,IT-26,1,154.2,0.3,154.5,220,50
-71.390,-29.333,68,27,1,155.3,0.3,155.6,190,49
-71.498,-29.333,67,27,5,145.9,,145.9,241,
-71.562,-29.333,66,27,10,75.8,0.3,76.1,157,70
-71.757,-29.333,65,27,20,7.4,0.6,8.0,190,76
-71.357,-29.500,69,IT-28,1,46.9,0.2,47.2,164,46
-71.347,-29.667,70,29,1,9.2,0.4,9.6,183,47
-71.423,-29.667,71,29,5,6.9,0.3,7.2,204,49
-71.520,-29.667,72,29,10,3.4,0.2,3.6,156,72
-71.713,-29.667,73,29,20,2.1,0.2,2.2,128,77
-71.325,-29.833,74,IT-30,1,30.8,0.8,31.6,159,123
-71.447,-30.000,75,31,1,12.0,0.6,12.6,140,130
-71.523,-30.000,76,31,5,17.8,0.3,18.1,150,158
-71.620,-30.000,77,31,10,4.1,0.0,4.1,126,138
-71.817,-30.000,78,31,20,2.9,0.0,2.9,141,144
-71.467,-30.167,83,IT-32,1,29.9,,29.9,164,
-71.702,-30.333,82,33,1,19.3,0.1,19.4,183,167
-71.780,-30.333,81,33,5,15.6,0.2,15.8,181,157
-71.875,-30.333,80,33,10,7.7,0.1,7.8,193,162
-72.070,-30.333,79,33,20,2.2,0.1,2.3,127,211
-71.720,-30.500,84,IT-34,1,17.7,0.3,18.0,169,99
-71.737,-30.667,86,35,1,5.4,0.3,5.6,137,97
-71.817,-30.667,87,35,5,4.4,0.5,4.9,152,90
-71.913,-30.667,88,35,10,2.1,,2.1,135,
-72.108,-30.667,89,35,20,1.0,0.0,1.1,134,184
-71.723,-30.833,85,IT-36,1,10.2,0.2,10.3,167,109
-71.673,-31.000,91,37,1,11.4,0.2,11.6,181,117
-71.750,-31.000,92,37,5,10.5,,10.5,169,
-71.850,-31.000,93,37,10,3.9,,3.9,119,
-72.045,-31.000,94,37,20,1.1,0.0,1.2,138,125
-71.683,-31.167,90,IT-38,1,16.2,0.1,16.3,162,206
-71.648,-31.333,96,39,1,26.8,0.2,27.0,198,132
-71.725,-31.333,97,39,5,16.5,0.1,16.6,190,150
-71.825,-31.333,98,39,10,4.4,,4.4,152,
-72.017,-31.333,99,39,20,2.3,0.0,2.3,115,174
-71.597,-31.500,95,IT-40,1,26.4,0.1,26.5,191,183
-71.593,-31.667,101,41,1,39.7,0.4,40.1,187,72
-71.672,-31.667,102,41,5,20.4,0.2,20.5,187,91
-71.770,-31.667,103,41,10,8.0,0.0,8.0,150,110
-71.965,-31.667,104,41,20,4.1,,4.1,140,
-71.588,-31.833,100,IT-42,1,38.0,0.3,38.3,171,80
-71.540,-32.000,109,43,1,23.6,0.2,23.8,190,63
-71.618,-32.000,108,43,5,13.1,0.2,13.3,162,98
-71.718,-32.000,107,43,10,2.5,,2.5,114,
-71.918,-32.000,106,43,20,1.0,,1.0,142,
-71.578,-32.167,105,IT-44,1,32.5,0.3,32.8,196,101
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
