buque,n°EST,lat(°S) ,min lat ,long (°W),min long,Año,Mes,Dia,Hora,minuto,prof ecosonda (m),dir olas (°), Olas alt, olas per, dir viento (°), int viento (nudos), Pres atmosf (milibar),T seco (°C),%hum rel,Tiempo presente,Tipo nubes,cant nubes,visibilidad, profundidad (m), temp (øC), salinidad (psu), sigma-t, oxig sensor (mL/L), fluor (v), oxiw (mL/L), cloa (µg/L), feop (µg/L)
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,1,        ,        ,        ,        ,         ,6.059,0.273,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,2,18.272,34.304,24.672,5.776,0.304,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,4,18.279,34.304,24.67,5.768,0.266,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,5,18.291,34.305,24.668,5.758,0.271,5.9,0.228,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,6,18.294,34.306,24.668,5.763,0.301,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,8,18.274,34.295,24.673,5.78,0.284,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,10,17.928,34.254,24.709,5.987,0.495,5.887,0.208,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,12,17.806,34.31,24.792,6.099,0.626,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,14,17.654,34.39,24.891,5.777,0.437,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,15,17.549,34.393,24.921,5.732,0.428,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,16,17.397,34.387,24.951,5.707,0.458,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,18,17.183,34.368,24.993,5.714,0.604,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,20,16.816,34.331,25.075,5.687,1.056,5.919,0.391,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,22,16.074,34.306,25.173,5.584,1.27,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,24,15.553,34.29,25.304,5.413,1.24,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,25,15.222,34.276,25.346,5.396,1.221,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,26,14.949,34.268,25.401,5.358,1.085,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,28,14.918,34.288,25.443,5.528,1.041,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,30,14.788,34.287,25.469,5.904,0.808,5.808,0.931,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,35,14.123,34.323,25.643,5.664,0.646,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,40,13.398,34.371,25.826,3.897,0.349,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,45,12.772,34.381,25.958,3.5,0.204,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,50,12.408,34.424,26.061,2.753,0.18,3.221,0.334,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,60,12.046,34.47,26.169,1.925,0.134,        ,        ,       
AbateMolina,1,32,50,71,34.8,2016,1,6,0,10,80,210,2,2,110,6,1014.3,13.8,90,2,6,8,7,61,12.058,34.472,26.169,1.898,0.121,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,1,        ,        ,        ,        ,         ,6.238,1.286,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,2,17.468,33.983,24.646,6.238,1.189,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,4,17.336,34.006,24.673,6.149,1.235,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,5,17.321,34.021,24.69,6.146,1.253,6.256,1.282,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,6,17.257,34.059,24.739,6.136,1.212,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,8,16.953,34.122,24.844,6.124,1.109,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,10,16.771,34.187,24.947,6.138,1.211,6.223,0.989,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,12,16.506,34.252,25.052,6.178,1.323,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,14,15.9,34.299,25.199,6.231,1.319,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,15,15.658,34.311,25.279,6.3,1.222,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,16,15.396,34.321,25.355,6.317,1.139,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,18,14.838,34.338,25.483,6.093,1.133,        ,        ,       
AbateMolina,2,32,40,71,29.2,2016,1,6,2,20,85,220,2,2,160,8,1013,13.6,90,2,6,8,7,20,14.51,34.347,25.577,5.687,0.972,6.11,0.888,       
