Estación,Transecta,Fecha,Hora,Latitud,Longitud,Biddulphia,Chaetoceros,Corethron,Coscinodiscus,Eucampia,Odontella,Nitzchia,Synedra,Skeletonema,Stephanopyxis,Thalassiosira,Dinophysis,Peridinium,Ceratium,Prorocentrum,Simbiodinium,,,,,,,,,,,,,,,,,,,,,,
1,2,1/6/2016,0:10,3250,7134.8,66,193,,,,,,,133,,61,,50,86,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1/6/2016,2:25,3240,7129.2,,86,,,,,,,73,,107,,,,,109,,,,,,,,,,,,,,,,,,,,,,
3,1,1/6/2016,3:50,3240,7135.3,,74,,,,,,,98,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1/6/2016,5:45,3240,7140.9,,42,,,,,109,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,1/6/2016,22:30,3300,7133.9,,,,,,60,,,696,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1/6/2016,23:45,3300,7140.2,,169,,,,,,,107,89,,,36,52,23,,,,,,,,,,,,,,,,,,,,,,,
7,3,1/7/2016,1:40,3300,7150,,105,,,,,,,233,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,1/7/2016,6:10,3310,7144.2,,15,,,,,,,420,5,458,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,1/7/2016,23:05,3320,7142.9,,82,,,,,,,201,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,1/8/2016,1:45,3320,7148.9,,,,32,,,5,,60,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,1/8/2016,2:55,3320,7155.5,,83,,,,,,,33,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,1/8/2016,5:00,3330,7141,,,,,,,,,569,,189,,25,,,,,,,,,,,,,,,,,,,,,,,,,
14,7,1/8/2016,23:50,3340,7142.6,,220,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7,1/9/2016,1:00,3340,7141,,116,,,,,,,,,69,,,16,,,,,,,,,,,,,,,,,,,,,,,,
16,7,1/9/2016,2:00,3340,7153.4,,,,6,,,,,,,54,,,66,,,,,,,,,,,,,,,,,,,,,,,,
17,7,1/9/2016,4:05,3340,7104.2,,,,,,,,,207,,69,,,10,,,,,,,,,,,,,,,,,,,,,,,,
18,8,1/9/2016,6:05,3350,7155.7,,,,,,,,,127,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,1/9/2016,23:30,3410,7202.3,,,,100,,,,,624,,91,,,87,57,21,,,,,,,,,,,,,,,,,,,,,,
20,9,1/9/2016,1:40,3400,7156.5,,530,,,,,,,650,,41,3,54,69,23,,,,,,,,,,,,,,,,,,,,,,,
21,9,1/10/2016,3:05,3400,7201,,,,10,,,,,201,,468,,,45,20,,,,,,,,,,,,,,,,,,,,,,,
22,9,1/10/2016,4:15,3400,7207.7,,,,36,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9,1/10/2016,5:25,3400,7214.9,,,,,,,,,89,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13,1/10/2016,22:57,3440,7215.7,,,,93,,,,,,,250,,,,,54,,,,,,,,,,,,,,,,,,,,,,
25,13,1/10/2016,23:20,3440,7210,,,,23,,,,,245,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13,1/11/2016,0:25,3440,7205.1,,13,,,4,,,,89,,314,,,34,44,,,,,,,,,,,,,,,,,,,,,,,
27,12,1/11/2016,2:10,3430,7203.8,,61,,,,,,,780,,,,,,69,20,,,,,,,,,,,,,,,,,,,,,,
28,11,1/11/2016,5:05,3420,7159.7,,119,,,,,,,154,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11,1/11/2016,4:45,3420,7208,,52,,,,,,,,,109,,,59,,,,,,,,,,,,,,,,,,,,,,,,
30,11,1/11/2016,6:40,3420,7215.8,,,,77,,,,,,,549,,,104,,,,,,,,,,,,,,,,,,,,,,,,
31,14,1/11/2016,20:10,3450,7211,,,,,,,,,230,,786,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15,1/12/2016,0:20,3500,7214,,222,,,,,,,754,,327,,,56,,,,,,,,,,,,,,,,,,,,,,,,
33,15,1/12/2016,1:10,3500,7219.2,,82,,,,,,,863,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15,1/12/2016,2:20,3500,7225.3,,356,,,,,,,568,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,15,1/12/2016,3:30,3500,7235.9,,,,,,,,,,,120,,54,,,13,,,,,,,,,,,,,,,,,,,,,,
36,16,1/12/2016,18:20,3510,7220.9,,25,,,,,,2,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,17,1/12/2016,22:45,3520,7230.6,,45,,,,,,,127,,363,,18,,,,,,,,,,,,,,,,,,,,,,,,,
38,17,1/12/2016,23:35,3520,7235.6,,123,,,,,,,228,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
39,17,1/13/2016,0:45,3520,7241.7,,119,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,17,1/13/2016,3:35,3520,7259,,250,,55,,,,1,188,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/1900,18,1/13/2016,20:25,3530,7239.1,,77,,,,,,,659,,555,,2,25,,,,,,,,,,,,,,,,,,,,,,,,
42,19,1/14/2016,0:25,3540,7238.8,,336,,,,,,,452,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,19,1/14/2016,1:25,3540,7243.8,,441,,,,,,,135,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,19,1/14/2016,2:15,3540,7250.1,,5,,,,,,,103,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,19,1/14/2016,4:20,3540,7202.3,,33,,15,,,,,56,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,19,1/14/2016,6:20,3540,7312.1,,108,,,,,,3,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20,1/14/2016,17:10,3550,7241.8,,104,,6,,,,,54,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,21,1/14/2016,23:00,3600,7323,,,,,,,,,120,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,21,1/15/2016,0:45,3600,7313.2,,452,,,,,,,555,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
