Estación,Transecta,Fecha,Hora,Latitud,Longitud,Copépodos,Salpas,Anfípodos,Apendicularias,Cladóceros,Ctenóforos,Eufáusidos,Foraminíferos,Doliólidos,Misidáceos,Medusas,Ostrácodos,Pterópodos ,Quetognatos,Sifonóforos,Tomoptéridos,Calyptopis,Cumáceos,Furcilias,Estomatópodos,Nauplius,Larvas de Munididae,Paralarvas,Huevos de invertebrados,Huevos de peces,Larvas bivalvos,Larva cifonauta,Larva cipris,Larvas de gastrópodos,Larvas de peces,Larvas de poliquetos, Larva ophiopluteus,Megalopas,Zoeas
1,2,1/6/2016,0:10,3250,7134.8,351.0,13.0,1.5,6.7,,1.2,4.9,1.1,1.5,0.1,1.1,0.9,0.4,8.9,1.6,0.6,2.3,2.0,1.3,,0.3,,,,1.8,,,,0.6,0.3,1.0,,0.6,2.3
2,1,1/6/2016,2:25,3240,7129.2,661.0,19.7,3.6,1.3,,0.4,31.5,,0.4,2.3,0.2,1.5,,4.4,,0.2,3.6,0.9,2.7,,,,,8.7,3.2,,,,0.6,0.6,,,8.0,20.5
3,1,1/6/2016,3:50,3240,7135.3,24.7,1.8,0.8,1.3,,,0.9,,0.1,,0.1,1.0,0.2,1.3,1.1,0.1,0.1,0.3,0.2,,,,,,0.1,,,,0.0,0.1,0.1,,0.1,0.2
4,1,1/6/2016,5:45,3240,7140.9,130.1,47.5,1.6,6.8,,0.3,2.0,,,0.1,0.1,1.1,0.3,3.4,2.7,0.3,0.6,,0.6,,,,,0.3,,,,0.1,0.3,0.1,1.3,,0.1,0.6
5,3,1/6/2016,22:30,3300,7133.9,1955.3,62.3,4.3,18.4,,3.5,5.7,0.4,3.5,2.5,0.4,0.4,,2.5,,,10.6,,5.7,,,,,1.1,1.1,,,1.8,1.1,,2.1,,1.1,23.4
6,3,1/6/2016,23:45,3300,7140.2,138.4,57.4,2.3,27.0,,0.4,5.2,0.1,,,1.0,2.0,0.1,5.6,2.0,1.0,4.9,,0.4,,1.4,,,0.8,0.1,0.1,,0.1,0.4,0.3,0.4,,0.4,1.1
7,3,1/7/2016,1:40,3300,7150,36.9,12.2,1.5,0.3,,,1.6,0.1,,,0.2,1.7,,2.9,2.9,0.1,0.6,,0.4,0.1,0.1,,,0.5,,,,,0.4,0.2,0.1,,,0.2
9,4,1/7/2016,6:10,3310,7144.2,89.6,34.9,1.0,7.6,,,1.9,0.2,,,0.9,0.7,0.6,2.5,3.2,0.9,3.3,,0.8,,0.1,,,,0.2,,0.1,0.2,,0.2,0.6,,0.2,0.1
10,5,1/7/2016,23:05,3320,7142.9,368.0,96.6,4.6,31.0,,3.4,15.8,1.1,,,2.6,1.4,0.3,9.2,,,10.1,0.3,10.3,1.1,,,,,0.9,,0.6,,,,,,0.3,7.5
11,5,1/8/2016,1:45,3320,7148.9,77.9,78.5,0.6,20.2,,0.6,1.2,0.4,0.6,,0.7,0.9,,1.2,3.5,0.4,1.7,,0.7,,0.6,,,0.6,0.6,,,,0.3,0.9,0.1,,,0.9
