crucero,pais,buque,est,lat,min_lat ,long,min_long,Año,Mes,Dia,Hora,minuto,prof_ecoso,dir_olas, Olas_alt, olas_per, dir_viento, int_viento, Pres_atmos,T_seco,hum_rel,Tiempo_ pre,Tipo_nubes,cant_nubes,visibilida, profundida, temp, salinidad, sigma_t, oxig_senso, cloa_senso, oxiw, cloa, feop
598,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,1,14.339,34.346,25.61,3.521,0.44,     ,0.41,0.09
599,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,2,14.294,34.351,25.623,3.502,0.5,     ,     ,     
600,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,3,14.176,34.358,25.654,3.495,0.55,     ,     ,     
601,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,4,14.02,34.364,25.692,3.484,0.47,     ,     ,     
602,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,5,13.661,34.376,25.775,3.311,0.37,     ,0.41,0.06
603,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,6,13.12,34.393,25.898,3.034,0.3,     ,     ,     
604,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,8,12.48,34.426,26.051,2.544,0.24,     ,     ,     
605,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,10,12.168,34.465,26.142,1.907,0.2,     ,     ,     
606,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,12,12.046,34.478,26.175,1.709,0.2,     ,     ,     
607,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,14,11.996,34.486,26.19,1.619,0.16,     ,     ,     
608,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,16,11.958,34.504,26.212,1.486,0.17,     ,     ,     
609,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,18,11.939,34.511,26.221,1.41,0.19,     ,     ,     
610,Chile,AbateMolina,1,32,30,71,30.5,2017,1,5,19,45,120,210,4,3,180,7,1011.6,11.5,86,1,7,4,7,20,11.92,34.514,26.227,1.374,0.15,1.59,0.24,0.13
