Zona,Transecta,Estación,Fecha,Hora,Latitud,Longitud,Fondo (m),Profundidad [m],Temperatura[°C],Salinidad,Densidad[Kg/m^3],Sigma-t,Conductividad[mS/cm],Fluorescencia,Cast
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,3,11.48,34.05,1025.96,25.95,38.53,0.18,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,4,11.46,34.24,1026.11,26.10,38.72,0.21,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,5,11.45,34.42,1026.26,26.24,38.89,0.23,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,6,11.46,34.50,1026.33,26.30,38.98,0.28,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,7,11.37,34.61,1026.44,26.41,38.99,0.29,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,8,11.41,34.57,1026.40,26.36,39.00,0.33,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,9,11.29,34.62,1026.47,26.43,38.91,0.34,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,10,11.23,34.59,1026.46,26.41,38.84,0.40,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,11,11.22,34.58,1026.46,26.41,38.83,0.39,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,12,11.21,34.58,1026.46,26.41,38.82,0.39,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,13,11.21,34.58,1026.47,26.41,38.82,0.39,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,14,11.21,34.58,1026.47,26.41,38.82,0.37,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,15,11.21,34.58,1026.48,26.41,38.82,0.37,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,16,11.14,34.59,1026.51,26.43,38.76,0.34,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,1,10/11/2018,14:25,-34.50,-72.04,19,17,11.05,34.59,1026.52,26.45,38.68,0.37,Cast2-T1E1.20181011.corr1.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,3,12.29,34.28,1025.99,25.98,39.54,1.52,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,4,12.32,34.31,1026.01,25.99,39.60,1.67,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,5,12.33,34.35,1026.05,26.02,39.66,1.89,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,6,12.33,34.37,1026.07,26.04,39.68,2.01,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,7,12.29,34.41,1026.11,26.08,39.67,2.27,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,8,12.14,34.43,1026.15,26.12,39.53,2.87,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,9,12.05,34.41,1026.16,26.12,39.44,3.48,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,10,12.06,34.41,1026.17,26.12,39.45,3.60,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,11,12.05,34.41,1026.17,26.12,39.44,4.04,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,12,12.04,34.41,1026.18,26.12,39.44,4.50,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,13,12.04,34.41,1026.18,26.12,39.43,4.58,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,14,12.04,34.41,1026.19,26.12,39.44,4.61,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,15,12.04,34.41,1026.19,26.13,39.44,4.46,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,16,12.04,34.42,1026.20,26.13,39.44,4.32,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,17,12.03,34.42,1026.21,26.13,39.44,4.22,Cast3-T1E2.20181011.corr2.MPDH.hex
Centro,1,2,10/11/2018,15:23,-34.50,-72.10,115,18,12.01,34.44,1026.23,26.15,39.43,3.74,Cast3-T1E2.20181011.corr2.MPDH.hex
