RECLUTAMIENTO DE ANCHOVETA CENTROSUR V a X Regiones 2012
Abate Molina (enero 2012)
Prof.,  Temp.,  Salin.,  Oxig.,  cloa., Dens. , XX 
---------------------------------------------------
    1 , 15.159 , 33.344 , 6.346  , 3.591   , 24.66   ,   0.0000
    2 , 15.188 , 33.344 , 6.35   , 3.259   , 24.654  ,   0.0000
    4 , 15.197 , 33.345 , 6.338  , 4.709   , 24.653  ,   0.0000
    5 , 15.202 , 33.345 , 6.351  , 4.64    , 24.652  ,   0.0000
    6 , 15.197 , 33.345 , 6.357  , 3.258   , 24.654  ,   0.0000
    8 , 15.203 , 33.348 , 6.351  , 4.234   , 24.658  ,   0.0000
   10 , 14.214 , 33.47  , 6.444  , 4.072   , 24.964  ,   0.0000
   12 , 12.591 , 33.681 , 6.075  , 4.613   , 25.48   ,   0.0000
   14 , 10.851 , 33.843 , 5.996  , 5.835   , 25.878  ,   0.0000
   15 , 10.805 , 33.875 , 5.676  , 2.789   , 25.939  ,   0.0000
   16 , 10.665 , 33.889 , 5.561  , 3.4     , 25.99   ,   0.0000
   18 , 9.82   , 33.91  , 5.513  , 3.685   , 26.119  ,   0.0000
   20 , 9.8    , 33.897 , 4.617  , 3.344   , 26.133  ,   0.0000
   22 , 9.56   , 33.919 , 4.568  , 3.548   , 26.181  ,   0.0000
   24 , 9.43   , 33.935 , 4.438  , 4.468   , 26.216  ,   0.0000
   25 , 9.386  , 33.946 , 4.416  , 2.662   , 26.232  ,   0.0000
   26 , 9.334  , 33.964 , 4.382  , 2.723   , 26.253  ,   0.0000
   28 , 9.249  , 33.998 , 4.305  , 1.563   , 26.293  ,   0.0000
   30 , 9.232  , 34.019 , 3.831  , 0.84    , 26.313  ,   0.0000
   35 , 9.162  , 34.075 , 3.402  , 0.415   , 26.368  ,   0.0000
   40 , 9.224  , 34.107 , 3.224  , 0.225   , 26.383  ,   0.0000
   45 , 9.269  , 34.149 , 3.046  , 0.147   , 26.413  ,   0.0000
   50 , 9.358  , 34.216 , 2.761  , 0.18    , 26.447  ,   0.0000
   60 , 9.446  , 34.28  , 2.175  , 0.168   , 26.482  ,   0.0000
   70 , 9.503  , 34.329 , 1.932  , 0.097   , 26.512  ,   0.0000
   75 , 9.387  , 34.345 , 1.665  , 0.073   , 26.543  ,   0.0000
   80 , 9.376  , 34.348 , 1.67   , 0.072   , 26.547  ,   0.0000
   90 , 9.249  , 34.375 , 1.367  , 0.073   , 26.588  ,   0.0000
  100 , 9.222  , 34.394 , 1.135  , 0.073   , 26.608  ,   0.0000
  120 , 9.25   , 34.415 , 0.742  , 0.081   , 26.62   ,   0.0000
  125 , 9.25   , 34.415 , 0.736  , 0.074   , 26.62   ,   0.0000
  134 , 9.25   , 34.416 , 0.733  , 0.073   , 26.62   ,   0.0000
