Cruce,pais,buque,Est,lat(g) ,lat(m) ,long(g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloasensor , cloa , feop 
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,1,16.405,34.309,25.123,5.91,1.416,1.44,0.07
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,2,16.37,34.307,25.13,5.916,1.426,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,4,16.334,34.307,25.138,5.901,1.407,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,5,16.36,34.307,25.135,5.916,1.413,1.4,0.26
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,6,16.307,34.307,25.154,5.918,1.459,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,8,15.813,34.308,25.242,5.967,1.485,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,10,15.339,34.304,25.357,5.952,1.608,1.86,0.01
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,12,15.27,34.298,25.376,5.921,1.651,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,14,14.591,34.297,25.512,5.944,1.675,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,15,14.343,34.296,25.575,5.909,1.689,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,16,13.965,34.297,25.643,5.855,1.695,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,18,13.538,34.286,25.738,5.597,1.702,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,20,12.807,34.262,25.852,5.552,1.695,2.37,0.31
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,22,12.689,34.273,25.889,5.248,1.674,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,24,12.695,34.321,25.935,5.141,1.757,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,25,12.442,34.336,25.989,4.987,1.784,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,26,12.15,34.355,26.058,4.817,1.778,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,28,11.652,34.34,26.139,3.967,1.668,0,0
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,30,11.593,34.341,26.154,3.459,1.598,1.33,0.9
544,CHILE,ABATE MOLINA,1,33,50,71,55.7,2012,1,6,15,2,43,220,1,2,340,5,1016.5,23.5,21,2,6,8,7,31,11.59,34.347,26.159,3.381,1.622,0,0
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,1,17.016,34.326,24.999,6.507,3.34,7.42,0.43
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,2,16.799,34.306,25.029,6.53,4.046,0,0
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,4,16.333,34.285,25.134,6.823,8.351,0,0
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,5,15.884,34.279,25.218,6.524,7.802,5.85,0.94
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,6,15.74,34.273,25.247,6.232,7.339,0,0
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,8,15.573,34.27,25.278,6.359,8.391,0,0
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,10,15.409,34.276,25.323,5.674,6.152,7.65,1.18
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,12,15.375,34.278,25.332,5.694,6.143,0,0
544,CHILE,ABATE MOLINA,2,34,10,72,2.4,2012,1,6,22,41,90,220,1,2,60,3,1014.5,18,16,0,s,0,7,14,15.259,34.283,25.365,5.66,6.07,0,0
