NMUE,ESTA,TRAN,DÍA,MES,AÑO,LATI,LONG,Skel,Chae,Thal,Nitz,Cosc,Navi,Cera,Bidd,Pinn,Rhiz,Frag
1,1,1,6,1,2012,3350,7135,0,162000,0,0,0,0,0,0,0,0,0
2,2,3,6,1,2012,3410,7202,0,0,0,0,0,0,0,0,0,0,0
3,3,2,7,1,2012,3400,7156,0,0,0,45000,0,0,0,0,0,0,0
4,4,2,7,1,2012,3400,7201,0,27000,0,0,0,0,0,0,0,0,0
5,5,2,7,1,2012,3400,7207,0,0,0,0,0,0,0,0,0,0,0
6,6,2,7,1,2012,3400,7214,0,0,63000,0,0,0,0,0,0,0,0
7,7,5,7,1,2012,3430,7203,0,0,63000,0,0,0,0,0,0,0,0
8,8,4,8,1,2012,3420,7215,0,0,0,0,0,0,0,0,0,0,0
9,9,4,8,1,2012,3420,7208,0,0,0,0,0,0,0,0,0,0,0
10,10,4,8,1,2012,3420,7159,72000,0,0,0,0,0,0,0,0,0,0
11,11,7,8,1,2012,3450,7211,0,0,0,0,0,0,0,0,0,0,0
12,12,6,9,1,2012,3440,7205,0,0,0,0,0,0,0,0,0,0,0
13,13,6,9,1,2012,3440,7210,0,0,0,0,0,0,0,0,0,0,0
14,14,6,9,1,2012,3440,7215,0,0,0,0,0,0,0,0,0,0,0
15,15,9,9,1,2012,3510,7221,0,0,315000,0,0,0,0,0,0,0,0
16,16,8,10,1,2012,3500,7214,0,0,0,0,0,0,0,0,0,0,0
17,17,8,10,1,2012,3500,7219,0,0,0,0,0,0,0,0,0,0,0
18,18,8,10,1,2012,3500,7225,0,0,0,0,0,0,0,0,0,0,0
19,19,8,10,1,2012,3500,7236,0,0,0,0,0,0,0,0,0,0,0
24,24,13,12,1,2012,3550,7241,99000,0,36000,0,0,0,0,0,0,0,0
25,25,12,13,1,2012,3540,7311,0,0,135000,0,0,0,0,0,0,0,0
26,26,12,13,1,2012,3540,7257,72000,0,0,0,0,0,0,0,0,0,0
27,27,12,13,1,2012,3540,7243,0,0,0,0,0,0,0,0,0,0,0
28,28,12,13,1,2012,3540,7238,63000,9000,0,27000,0,0,0,0,0,0,0
29,29,15,13,1,2012,3610,7251,315000,72000,126000,0,0,0,0,36000,0,27000,0
30,30,NaN,13,1,2012,3600,7330,0,0,162000,0,0,0,0,0,0,18000,0
31,31,14,14,1,2012,3600,7318,0,0,54000,0,0,0,9000,0,0,9000,0
32,32,14,14,1,2012,3600,7305,0,0,162000,45000,0,0,0,0,0,18000,0
33,33,14,14,1,2012,3600,NaN,0,0,54000,0,0,0,0,0,0,0,0
34,34,14,14,1,2012,3600,7253,0,0,0,0,0,0,0,0,0,0,0
35,35,16,14,1,2012,3620,7340,0,0,0,0,0,0,0,0,0,0,0
36,36,16,15,1,2012,3620,7316,0,0,0,0,0,0,0,0,0,0,0
37,37,16,15,1,2012,3620,7304,0,0,54000,0,0,27000,0,0,0,0,0
38,38,16,15,1,2012,3620,7258,0,0,0,0,0,0,0,0,0,0,0
39,39,16,15,1,2012,3620,7253,0,0,99000,0,0,0,0,0,0,0,0
40,40,18,16,1,2012,3640,7310,234000,54000,0,0,0,0,0,0,0,0,0
41,41,18,16,1,2012,3640,7315,0,0,0,0,0,0,0,0,0,0,0
42,42,18,16,1,2012,3640,7321,0,144000,0,0,0,0,0,0,0,0,0
43,43,18,16,1,2012,3640,7336,0,0,144000,0,0,0,0,0,0,0,0
44,44,18,16,1,2012,3640,7350,0,0,126000,0,0,0,0,0,0,0,0
45,45,17,16,1,2012,3630,7259,0,63000,0,0,0,0,0,0,0,0,0
46,46,19,16,1,2012,3650,7313,279000,0,0,0,0,0,0,0,0,0,0
47,47,19,16,1,2012,3650,7329,0,0,234000,0,0,0,0,0,0,0,0
48,48,19,17,1,2012,3650,7320,117000,0,0,0,0,0,0,0,0,0,0
53,53,404,19,1,2012,3710,7330,441000,0,18000,0,0,0,0,0,0,0,0
54,54,404,19,1,2012,3710,7323,243000,0,0,0,0,0,0,0,0,0,0
55,55,404,19,1,2012,3710,7314,252000,0,0,0,0,0,0,0,0,0,0
56,56,402,20,1,2012,3700,7312,369000,0,0,0,0,0,0,0,0,0,0
57,57,402,20,1,2012,3700,7320,36000,0,0,0,0,0,0,0,0,0,0
58,58,402,20,1,2012,3700,7327,9000,0,0,0,0,0,0,0,0,0,0
59,59,21,20,1,2012,3710,7341,0,0,0,0,0,0,0,0,0,0,0
60,60,22,20,1,2012,3720,7343,54000,0,0,0,0,0,0,0,0,0,0
61,61,22,21,1,2012,3720,7348,18000,0,0,0,0,0,0,0,0,0,0
62,62,22,21,1,2012,3720,7355,0,0,54000,0,0,0,0,0,0,0,0
63,63,22,21,1,2012,3720,7415,0,0,171000,0,0,0,0,0,0,0,0
64,64,23,21,1,2012,3730,7340,0,0,0,0,0,0,0,0,0,0,0
65,65,25,21,1,2012,3750,7339,0,0,0,0,0,0,0,0,0,0,0
66,66,24,22,1,2012,3740,7406,0,0,675000,0,0,0,0,0,0,0,0
67,67,24,22,1,2012,3740,7355,0,36000,0,0,0,0,0,0,0,0,0
68,68,24,22,1,2012,3740,7347,243000,54000,0,0,0,0,0,0,0,0,0
69,69,24,22,1,2012,3740,7342,99000,0,0,0,0,0,0,0,0,0,0
