NMUE,ESTA,TRAN,DÍA,MES,AÑO,LATI,LONG,Cope,Anfi,Apen,Cten,Eufa,Fora,Doli,Hete,Misi,Medu,Naup,Ophi,Ostr,Pleu,Pter,Quet,Radi,Salp,Sifo,Esto,Tomo,Caly,Cuma,Furc,Hueinv,Huepec,Juvcam,Larcif,Larcip,Larcri,LarDis,Largas,Larpec,Larpol, Laroph,Lartro,Mega,zoeas,Cefa,Juvpec
1,1,1,6,1,2012,3350,7135,138.1,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0,0.0,8.4,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,6,1,2012,3410,7202,307.0,0.0,0.4,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.4,0.0,0.8,0.0,0.4,2.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,5.5,0.0,0.0
3,3,2,7,1,2012,3400,7156,806.3,0.0,107.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.0,0.0,0.0,1.2,0.0,2.4,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.4,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
4,4,2,7,1,2012,3400,7201,155.1,0.0,2.9,0.6,11.1,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.0,0.0,0.0,0.3,0.0,0.0,1.4,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2,7,1,2012,3400,7207,76.3,0.0,0.1,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
6,6,2,7,1,2012,3400,7214,111.9,1.6,0.5,0.0,0.9,0.3,0.8,0.5,0.0,0.2,0.0,0.0,2.4,0.3,0.0,2.0,0.8,0.9,0.0,0.0,0.5,0.0,0.0,0.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
7,7,5,7,1,2012,3430,7203,696.2,1.1,0.0,0.0,0.0,0.0,89.9,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,2.3,0.0,1.1,0.0,0.0,1.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0
8,8,4,8,1,2012,3420,7215,83.4,0.9,0.0,0.0,0.1,0.0,2.7,0.1,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.4,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
9,9,4,8,1,2012,3420,7208,82.1,0.0,0.0,0.3,1.2,0.6,74.9,0.0,0.0,0.6,0.0,0.0,0.9,0.0,0.0,0.9,0.3,0.0,1.2,0.0,0.3,0.0,0.0,0.0,2.3,1.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
10,10,4,8,1,2012,3420,7159,398.9,0.7,0.0,0.0,5.4,0.7,11.1,0.0,0.4,1.8,1.4,0.0,0.0,1.1,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,3.2,0.0,0.0
11,11,7,8,1,2012,3450,7211,108.8,0.0,0.8,0.0,4.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0
12,12,6,9,1,2012,3440,7205,89.6,0.5,0.0,0.0,9.2,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,2.4,0.0,1.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
13,13,6,9,1,2012,3440,7210,50.2,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,6.5,0.0,1.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0
14,14,6,9,1,2012,3440,7215,125.8,0.0,0.0,0.0,3.4,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.4,0.1,0.0,1.4,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.0
15,15,9,9,1,2012,3510,7221,133.1,0.4,2.5,0.2,0.0,0.0,4.0,0.0,0.0,0.7,0.0,0.0,0.4,0.2,0.0,1.8,0.0,0.5,2.2,0.0,0.2,0.4,0.0,0.7,0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
16,16,8,10,1,2012,3500,7214,620.0,0.0,43.8,0.0,0.0,0.0,1.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
