Cruce,pais,buque,Est,lat(g) ,lat(m) ,long(g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloasensor , cloa , feop 
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.276,33.236,25.167,5.843,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.273,33.235,25.167,5.83,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.273,33.239,25.17,5.835,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12.273,33.238,25.169,5.84,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.277,33.239,25.169,5.826,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12.278,33.241,25.17,5.84,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.276,33.242,25.171,5.819,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12.278,33.243,25.172,5.81,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12.277,33.244,25.173,5.799,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.277,33.245,25.173,5.794,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12.278,33.245,25.173,5.784,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12.278,33.245,25.174,5.775,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12.278,33.247,25.175,5.773,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12.281,33.261,25.185,5.779,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.281,33.27,25.193,5.773,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12.28,33.272,25.194,5.768,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12.281,33.28,25.2,5.738,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12.28,33.284,25.203,5.748,0,0,0
547,CHILE,ABATE MOLINA,1,41,30,73,51.9,2012,5,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12.274,33.283,25.204,5.731,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.924,33.369,25.145,5.69,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.923,33.369,25.145,5.681,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.924,33.369,25.145,5.671,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.923,33.369,25.145,5.684,0,0,0
547,CHILE,ABATE MOLINA,2,41,40,73,54.6,2012,5,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12.925,33.369,25.145,5.69,0,0,0
