# nanos 
 28 

# nedades 
 5 

# ntallas 
 33 

# Edades 
 0 1 2 3 4 

# Tallas 
 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 

# M 
 0.7 

# Dt 
 0.04 0.375 0.625 0.625 

# madurezsexual 
 0.13 1 1 1 1 

# Ind 
1990 0 0.3 0 0.3 0 100 151638 0.01
1991 0 0.3 0 0.3 0 100 268017 0.01
1992 0 0.3 0 0.3 0 100 262257 0.01
1993 0 0.3 0 0.3 0 100 205936 0.01
1994 0 0.3 0 0.3 0 100 474223 0.01
1995 0 0.3 0 0.3 0 100 256443 0.01
1996 0 0.3 0 0.3 0 100 360828 0.01
1997 0 0.3 0 0.3 0 100 292139 0.01
1998 0 0.3 0 0.3 0 100 121448 0.01
1999 0 0.3 0 0.3 0 100 404860 0.01
2000 370054 0.3 0 0.3 0 100 39380 0.01
2001 412103 0.3 0 0.3 0 100 16412 0.01
2002 1494267 0.3 0 0.3 112323 100 266061 0.01
2003 250295 0.3 600178 0.3 0 100 294636 0.01
2004 1289818 0.3 0 0.3 153150 100 352498 0.01
2005 931140 0.3 1224101 0.3 637223 100 430556 0.01
2006 785840 0.3 2062538 0.3 0 100 629873 0.01
2007 897777 0.3 1500000 0.3 255016 100 561652 0.01
2008 1040062 0.3 0 0.3 313432 100 350624 0.01
2009 184774 0.3 1874556 0.3 73983 100 420000 0.01
2010 17550 0.3 323000 0.3 77613 100 220000 0.01
2011 25797 0.3 250000 0.3 109348 100 111000 0.01
2012 100020 0.3 174000 0.3 50772 100 74528 0.01
2013 73551 0.3 83755 0.3 0 100 43866 0.01
2014 82996 0.3 137374 0.3 0 100 55831 0.01
2015 120727 0.3 242188 0.3 0 100 63869 0.01
2016 218422 0.3 501740 0.3 0 100 71985 0.01
2017 84188 0.3 0 0.3 0 100 43227 0.01

# Captura_edad 
15829 6358 1851 835 269
27 6332 9840 984 356
583 2151 7993 1674 350
58 2657 5771 1017 247
633 13751 11621 1577 606
669 10999 6266 504 210
942 8142 10150 2001 836
470 6157 6566 1518 90
826 10296 6382 306 8
152 27006 21158 3883 172
345 14816 8197 2262 159
517 10283 2662 98 1
355 14557 4014 256 5
1353 11451 4168 232 2
34 10656 3653 224 8
174 10915 4690 806 39
286 8329 5174 601 54
215 7454 7778 1615 117
471 8404 4346 690 80
1173 17782 2638 444 11
122 4180 2300 185 24
12 1340 480 23 0
63 1974 640 53 0
67 966 993 69 0
374 637 356 41 0
3 773 736 83 3
69 963 1182 456 57
0 0 0 0 0

# Reclas_edad 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 69871 6428 361 8
0 41013 50762 4417 1
0 33794 2752 913 10
0 50484 37946 682 0
0 77929 18040 2751 34
0 81314 15315 3703 73
0 72487 11912 602 104
0 31521 20373 2579 30
0 77929 18040 2751 34
0 6660 95 10 0
0 2133 520 92 0
0 11469 1070 78 6
0 3429 1739 136 0
0 7594 1836 82 0
0 2878 1985 923 65
0 38447 5712 1044 30
0 0 0 0 0

# Pelaces_edad 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
3009 82258 21399 5623 33
0 0 0 0 0
14455 35412 51715 5453 682
2301 14170 4620 1127 55
60 15533 2479 73 0
2577 12313 1789 77 0
3681 2968 1273 40 0
0 4603 3671 414 5
5929 17403 2575 163 77
41925 23605 3510 1547 33
0 0 0 0 0

# Pelaces_talla 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1880 4110 9813 7932 7348 6747 4878 2873 1598 1265 1141 907 310 152 153 130 131 24 983 2686 3851 2034 672 152 0 21 0 19 0
0 0 0 7130 21576 6059 6205 2854 1582 1080 1039 1792 1371 1420 1202 1701 3057 3957 2849 2955 2972 2288 1444 1211 590 247 45 21 17 0 3 0 0
19 149 234 215 800 666 3816 2005 5379 7099 7599 4157 1397 384 339 98 304 1489 2221 2244 3855 5612 10884 10606 11572 7146 3813 1738 339 624 1 0 0
367 1272 4167 3396 1411 412 426 1060 2030 2754 3663 4209 3398 2982 2602 2098 2271 1735 1380 1142 908 711 338 281 180 333 454 362 90 8 7 0 0
0 0 0 0 0 0 56 156 1332 3220 7827 6532 5963 4033 2400 1305 1002 1161 1677 3921 6380 7239 9523 9887 7569 5310 1851 616 117 31 0 0 0
0 0 0 0 331 1427 5313 3560 4372 5097 9701 12529 14429 11146 4632 1398 819 498 261 348 823 1994 4407 5895 4232 2857 1888 1717 914 219 0 0 0
0 180 3495 1230 1607 1664 2231 3657 7595 10720 13734 13362 13483 6159 3524 1929 1001 911 976 1535 1707 1734 3209 4263 5191 4492 3919 2036 974 316 63 28 0
0 0 0 0 0 0 241 407 1268 2235 3205 4104 3717 4180 3179 2906 4229 3813 8324 9318 6512 4556 3653 3255 2374 1715 1495 984 599 293 67 0 0
0 0 0 0 0 0 20 497 315 2440 3591 4944 3534 3416 1537 1549 1431 584 414 90 807 2319 4907 7132 7483 5222 4708 3023 1484 451 41 0 0
0 0 0 0 171 711 1725 4752 4371 8747 8869 6664 3207 1477 426 321 97 169 91 92 47 55 51 133 148 223 253 193 272 51 40 0 0
0 0 2 8 224 734 1476 1838 1105 612 206 150 107 70 66 2 1 2 8 8 10 18 28 34 30 19 7 2 1 0 0 0 0
0 0 0 0 0 0 0 67 52 393 1040 2006 2271 1206 160 23 28 29 73 289 541 456 1164 2156 4117 4910 3103 1295 344 36 107 0 0
0 0 0 0 0 0 0 0 0 49 173 461 1293 1261 1864 1609 1509 1289 899 842 927 999 1044 1124 713 351 203 82 98 20 5 0 0
24 320 415 409 336 189 141 303 364 315 209 265 250 140 110 67 68 109 118 202 398 563 891 809 486 250 128 55 24 6 0 0 0
0 0 0 0 0 0 7 6 66 116 134 81 3 31 49 74 220 437 449 572 492 532 719 753 963 1267 813 495 217 120 54 14 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0

# Wmed 
1.8 5.7 26.4 33.4 37.3
9.7 8.7 17.7 26.8 34.5
6.6 15.1 20.9 28.3 33.6
10 14.6 21.7 31.1 38
6.7 11.1 20.6 34.3 40.2
6.7 10.8 17.7 29.3 32.7
7.3 12.1 17.2 27.5 31
8.3 12.5 24.2 32 42.1
7.6 12.8 20.4 30.1 41.5
6.2 12.7 22.1 31.2 36.8
5.3 9.6 22.7 32.7 42
5.9 10.6 20.2 31 35.3
5.8 7.4 19.3 25.4 30.1
8 11.8 17.8 24 37.4
8.5 14.4 27.2 37.6 42.1
9 13.7 23.1 32.6 37.5
7.2 13.4 20.4 29.8 34.1
5.8 13.9 23.3 33.2 40.4
7 13 22.4 32.9 36.9
6.9 10.6 24.3 32.6 38.2
6.1 13.6 19.7 30.6 35.8
7.5 14.1 21.2 30.2 37
7.4 14.4 26.4 34.8 36.1
10.3 17.6 23.6 31.9 38.2
8 18.2 26.7 35.2 48.1
14.6 20.5 32.3 42.9 52.7
9.9 12.5 16.3 17.7 18.4
7.6 12.8 22.1 31.1 37.3

# Wini 
0.4 3.2 12.3 29.7 35.3
6.2 4 10 26.6 33.9
3 12.1 13.5 22.4 30
9 9.8 18.1 25.5 32.8
4.2 10.5 17.3 27.3 35.4
3.7 8.5 14 24.6 33.5
4.2 9 13.6 22.1 30.1
5.4 9.5 17.1 23.4 34.1
4.5 10.3 15.9 27 36.5
4 9.8 16.8 25.2 33.2
2.6 7.7 17 26.8 36.2
4.6 7.5 13.9 26.5 33.9
2.9 6.6 14.3 22.7 30.5
4.4 8.3 11.5 21.5 30.8
5.2 10.7 17.9 25.9 31.8
6 10.8 18.3 29.8 37.6
3.7 11 16.8 26.3 33.3
2.6 10 17.7 26 34.7
4.6 8.7 17.6 27.7 35
3.5 8.6 17.8 27 35.4
2.7 9.7 14.5 27.3 34.2
2.7 9.1 16.4 24.6 33.7
3.6 12.7 24.7 32.7 33.7
4.1 9 16 26 33.7
3.5 9.6 17.8 27.6 34.3
4.1 9.1 16 26.1 34
4.1 9.1 16 26.1 33.7
4.1 9.1 16 26.1 33.7

# Error_edad 
1 0 0 0 0
0.14 0.74 0.12 0 0
0 0.16 0.74 0.11 0
0 0 0.22 0.78 0
0 0 0 0.2 0.78

# CVs 
 0.6 1000.2 1000.2 

# NMs 
60 34 6 0

# log_priorRo
11.6

# selflota1 
 2 

# selcru1 
 2 

# opt_qrecl 
 3 

# opt_qpela 
 3 

# opt_qflo 
 4 

# par 
 19 0.9 7.2 0.15 0.7 

# opt_Lo 
 -2 

# opt_cv 
 -2 

# error_edad 
 2 

# opt_M 
 -1 

# opt_Ro 
 1 

# opt_devR 
 2 

# opt_devNo 
 1 

# opt_F 
 1 

# Fmedian 
 0.72

# opt_Fspr 
 6 

# npbr 
 2 

# ratiopbr 
 0.6 0.45 

# nproy 
 5 

# opt_proy 
 2 

# opRec 
 3 

# opProp 
 1 

# mF 
 1 

